Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Dean Jr. D., Kuhn D.","56663836100;7201509059;","Direct instruction vs. Discovery: The long view",2007,"Science Education","91","3",,"384","397",,108,"10.1002/sce.20194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247468385&doi=10.1002%2fsce.20194&partnerID=40&md5=d859156fc19a259bada1953bf75fddba","Teachers College, Columbia University, New York, NY 10027, United States; Center for AIDS and STD, School of Social Work, University of Washington, Seattle, WA 98104, United States","Dean Jr., D., Teachers College, Columbia University, New York, NY 10027, United States; Kuhn, D., Teachers College, Columbia University, New York, NY 10027, United States, Center for AIDS and STD, School of Social Work, University of Washington, Seattle, WA 98104, United States","D. Klahr and M. Nigam (2004) make a case for the superiority of direct instruction over discovery learning in students' mastery of the control-of-variables strategy central to the scientific method. In the present work, we examine acquisition of this strategy among students of the same age as those studied by Klahr and Nigam, as well as follow central features of their design in directly comparing the two methods. In contrast to their design, however, we follow progress over an extended time period and a range of equivalent tasks. Three groups of 15 fourth-grade students, of diverse socioeconomic background, were compared. One group engaged in 12 sessions over 10 weeks working on problems that required the control-of-variables strategy for effective solution. Another group engaged in the same activity, preceded by a session involving direct instruction on the control-of-variables strategy. A third group received only the initial direct instruction, without subsequent engagement and practice. In this longer term framework, direct instruction appears to be neither a necessary nor sufficient condition for robust acquisition or for maintenance over time. The patterns of attainment observed here point instead to a gradual and extended process of acquisition and consolidation. © 2006 Wiley Periodicals, Inc.",,,,,,,"Kuhn, D.; Center for AIDS and STD, School of Social Work, University of Washington, Seattle, WA 98104, United States; email: dk100@columbia.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247468385
"Da-Silva C., Mellado V., Ruiz C., Porlán R.","16241108900;55996139800;12778714100;16242387500;","Evolution of the conceptions of a secondary education biology teacher: Longitudinal analysis using cognitive maps",2007,"Science Education","91","3",,"461","491",,36,"10.1002/sce.20183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247487819&doi=10.1002%2fsce.20183&partnerID=40&md5=b4a076428dcf9dcce86fafd41c8c1927","Colegio Sagrada Familia, 06005 Badajoz, Spain; Department of Science and Mathematics Education, Faculty of Education, University of Extremadura, 06071 Badajoz, Spain; Department of Science and Social Sciences Education, Faculty of Education, University of Sevilla, 41005 Seville, Spain","Da-Silva, C., Colegio Sagrada Familia, 06005 Badajoz, Spain; Mellado, V., Department of Science and Mathematics Education, Faculty of Education, University of Extremadura, 06071 Badajoz, Spain; Ruiz, C., Department of Science and Mathematics Education, Faculty of Education, University of Extremadura, 06071 Badajoz, Spain; Porlán, R., Department of Science and Social Sciences Education, Faculty of Education, University of Sevilla, 41005 Seville, Spain","We describe a longitudinal study of a secondary education biology teacher at two moments in her career (1993-2002), determining the changes in her conceptions of the nature of science and its teaching and learning, and the factors that favored or hindered such changes. The changes were analyzed using cognitive maps, constructed on the basis of the Inventory of Teachers' Pedagogical & Scientific Beliefs (INPECIP) questionnaire, designed and validated by R. Porlán, A. Rivero, and R. Martín del Pozo (1997), and a semistructured interview. The results showed the process of change in conceptions to be complex and gradual, with different conceptions being out of phase with each other. During her first 4 years of teaching, until 1993, her conceptions of science teaching and learning began to evolve from a teacher and content-centered model to one that was more student centered. The catalyst of the change in her initial conceptions of teaching and learning was her becoming aware of the students' alternative ideas. Her empiricist conception of the nature of science, however, remained practically unaltered during these first 4 years. This conception began to shift slowly toward less dogmatic and more up-to-date positions as a consequence of her changing view of teaching-learning, and by 2002, there was again coherence between her scientific thinking and her ideas on science teaching and learning. © 2006 Wiley Periodicals, Inc.",,,,,,,"Mellado, V.; Department of Science and Mathematics Education, Faculty of Education, University of Extremadura, 06071 Badajoz, Spain; email: vmellado@unex.es",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247487819
"Bennett J., Lubben F., Hogarth S.","8681899900;6602935758;6603024489;","Bringing science to life: A synthesis of the research evidence on the effects of context-based and STS approaches to science teaching",2007,"Science Education","91","3",,"347","370",,158,"10.1002/sce.20186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247537146&doi=10.1002%2fsce.20186&partnerID=40&md5=9371e18f6a2a875bf4680b9239f6979b","Department of Educational Studies, University of York, York, YO10 5DD, United Kingdom","Bennett, J., Department of Educational Studies, University of York, York, YO10 5DD, United Kingdom; Lubben, F., Department of Educational Studies, University of York, York, YO10 5DD, United Kingdom; Hogarth, S., Department of Educational Studies, University of York, York, YO10 5DD, United Kingdom","Context-based and science-technology-society (STS) approaches to teaching science in high school have become widely used over the past two decades. They aspire to foster more positive attitudes to science while, at the same time, provide a sound basis of scientific understanding for further study. This paper reviews the detailed research evidence from 17 experimental studies undertaken in eight different countries on the effects of context-based and STS approaches, drawing on the findings of two systematic reviews of the research literature. The review findings indicate that context-based/STS approaches result in improvement in attitudes to science and that the understanding of scientific ideas developed is comparable to that of conventional approaches. The approaches also result in more positive attitudes to science in both girls and boys and reduce the gender differences in attitudes. The paper also considers issues emerging from work in the area in relation to study design and the constraints which may militate against the use of experimental research designs when gathering evidence of impact of interventions. A fundamental constraint is the extent to which it is possible to make comparisons between existing methods and interventions when the aims are overlapping but also differ in significant ways. © 2006 Wiley Periodicals, Inc.",,,,,,,"Bennett, J.; Department of Educational Studies, University of York, York, YO10 5DD, United Kingdom; email: jmb20@york.ac.uk",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247537146
"Jones M.T., Eick C.J.","56332060200;7004065756;","Implementing inquiry kit curriculum: Obstacles, adaptations, and practical knowledge development in two middle school science teachers",2007,"Science Education","91","3",,"492","513",,29,"10.1002/sce.20197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247497223&doi=10.1002%2fsce.20197&partnerID=40&md5=0606cefca205fe24978d09d355874bbf","Science Department, Drake Middle School, Auburn, AL 36830, United States; Department of Curriculum and Teaching, Auburn University, Auburn, AL 36849, United States","Jones, M.T., Science Department, Drake Middle School, Auburn, AL 36830, United States; Eick, C.J., Department of Curriculum and Teaching, Auburn University, Auburn, AL 36849, United States","Two elementary certified middle school science teachers are studied for changes in practical knowledge supporting the implementation of kit-based inquiry as part of a schoolwide reform effort. Emphasis is placed on studying how these two pilot teachers enact guided inquiry within their unique pedagogical and curricular interests, and what adaptations they make in their use of Science and Technology for Children™ and Science and Technology Concepts for Middle School™ curriculum. Case study results support the notion that reform is complex and personal, and teachers as professionals need collective and individual support in the classroom as they make incremental changes in practice toward becoming inquiry-oriented teachers. © 2007 Wiley Periodicals, Inc.",,,,,,,"Eick, C.J.; Department of Curriculum and Teaching, Auburn University, Auburn, AL 36849, United States; email: eickcha@auburn.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247497223
"Acher A., Arcà M., Sanmartí N.","16241001800;57202623938;6504564572;","Modeling as a teaching learning process for understanding materials: A case study in primary education",2007,"Science Education","91","3",,"398","418",,47,"10.1002/sce.20196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247509209&doi=10.1002%2fsce.20196&partnerID=40&md5=a2748de0a5216ac82fda531c9f9ef05e","Department of Didactics, Mathematics and Experimental Sciences, University Autonoma of Barcelona, 08193 Bellaterra, Barcelona, Spain; Centre for Nucleic Acid Studies, University of La Sapienza, CNR, 00185 Rome, Italy","Acher, A., Department of Didactics, Mathematics and Experimental Sciences, University Autonoma of Barcelona, 08193 Bellaterra, Barcelona, Spain; Arcà, M., Centre for Nucleic Acid Studies, University of La Sapienza, CNR, 00185 Rome, Italy; Sanmartí, N., Department of Didactics, Mathematics and Experimental Sciences, University Autonoma of Barcelona, 08193 Bellaterra, Barcelona, Spain","Modeling is being used in teaching learning science in a number of ways. It will be considered here as a process whereby children of primary school age exercise their capacity of organizing recognizable and manageable forms during their understanding of complex phenomenologies. The aim of this work is to characterize this process in relation to the modeling of properties of and changes in materials. The data are discussed by establishing relationships between the modeling process with three different aspects: the specialized scientific knowledge, the physical manipulation of phenomena, and the interaction among those participating in the class. The results show how 7-8-year-old students generate a modeling process that leads them to explain the behavior of different materials by using a ""model of parts"" created ad hoc. This model, built up from some kind of a discrete vision of the material, proves to be coherent for children of this age and evolves by relating the visible continuum with an imagined discontinuum. © 2007 Wiley Periodicals, Inc.",,,,,,,"Acher, A.; Department of Didactics, Mathematics and Experimental Sciences, University Autonoma of Barcelona, 08193 Bellaterra, Barcelona, Spain; email: andres.acher@kcl.ac.uk",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247509209
"Mbajiorgu N.M., Ezechi N.G., Idoko E.C.","6507676178;16241487100;16241710300;","Addressing nonscientific presuppositions in genetics using a conceptual change strategy",2007,"Science Education","91","3",,"419","438",,13,"10.1002/sce.20202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247526840&doi=10.1002%2fsce.20202&partnerID=40&md5=99a12e6488674bb20a95ba411f04a89c","Department of Science and Computer Education, Enugu State University of Science and Technology, Enugu, Nigeria","Mbajiorgu, N.M., Department of Science and Computer Education, Enugu State University of Science and Technology, Enugu, Nigeria; Ezechi, N.G., Department of Science and Computer Education, Enugu State University of Science and Technology, Enugu, Nigeria; Idoko, E.C., Department of Science and Computer Education, Enugu State University of Science and Technology, Enugu, Nigeria","Researchers are becoming aware of the influence of students' presuppositions in directing their construction of science concepts. When these are entrenched and drastically nonscientific, they predispose the children to alternative explanatory frameworks that are inhibiting, especially in a knowledge domain such as genetics. In this study, we identified such nonscientific presuppositions among 17- to 18-year-old secondary school students from the Igbo community of Southeastern Nigeria. We designed a research-based instructional model to address these presuppositions. The relationship between the levels of nonscientific presuppositions held by students and their achievement in genetics was assessed. Finally, the effect of the instructional model on students' relinquishing these non-scientific presuppositions and on their achievement was determined relative to a comparison group. It was found that this group of students had nonscientific presuppositions that they used in explaining genetic phenomena, and that the present instructional model aided the students in relinquishing these nonscientific presuppositions to a great extent. We conclude that a conceptual change model that addresses explicitly nonscientific presuppositions will lead to an increased understanding of science concepts. © 2007 Wiley Periodicals, inc.",,,,,,,"Mbajiorgu, N.M.; Department of Science and Computer Education, Enugu State University of Science and Technology, Enugu, Nigeria; email: nmbajiorgu@yahoo.com",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247526840
"Johnson C.C., Kahle J.B., Fargo J.D.","16233773200;24453266300;6603394893;","Effective teaching results in increased science achievement for all students",2007,"Science Education","91","3",,"371","383",,22,"10.1002/sce.20195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247473845&doi=10.1002%2fsce.20195&partnerID=40&md5=5a53c5ba64df83f7c3d0c6a2aeee3ef9","Curriculum and Instruction, University of Toledo, Toledo, OH 43606, United States; Teacher Education, Miami University, Oxford, OH 45056, United States; Department of Psychology, Utah State University, Logon, UT 84322-2810, United States","Johnson, C.C., Curriculum and Instruction, University of Toledo, Toledo, OH 43606, United States; Kahle, J.B., Teacher Education, Miami University, Oxford, OH 45056, United States; Fargo, J.D., Department of Psychology, Utah State University, Logon, UT 84322-2810, United States","This study of teacher effectiveness and student achievement in science demonstrated that effective teachers positively impact student learning. A general linear mixed model was used to assess change in student scores on the Discovery Inquiry Test as a function of time, race, teacher effectiveness, gender, and impact of teacher effectiveness in prior years, over a 3-year period. Effective teaching was identified through a series of classroom observations using the Local Systemic Change Classroom Observation Protocol (Horizon Research, 1999). This study found that effective teaching increases student achievement and closes achievement gaps for all students. Findings from this study provide evidence that effective teaching each year may be the key to eliminating achievement gaps in science. © 2006 Wiley Periodicals, Inc.",,,,,,,"Johnson, C.C.; Curriculum and Instruction, University of Toledo, Toledo, OH 43606, United States; email: carlac.johnson@utoledo.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247473845
"Rogan J.M.","8248847300;","How much curriculum change is appropriate? Defining a zone of feasible innovation",2007,"Science Education","91","3",,"439","460",,27,"10.1002/sce.20192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247547063&doi=10.1002%2fsce.20192&partnerID=40&md5=64a6bbf03eae91f4b0751e7a180d7ef3","Science Education Research Group, Pietermartizburg Campus, University of KwaZuluNatal, Scottsville, 3202, South Africa; P.O. Box 352, Cortez, CO 81321, United States","Rogan, J.M., Science Education Research Group, Pietermartizburg Campus, University of KwaZuluNatal, Scottsville, 3202, South Africa, P.O. Box 352, Cortez, CO 81321, United States","The article grapples with the question of how much curriculum change is appropriate in a given context and in a given time frame. How can a balance be struck between stagnation, on the one hand, and the promotion of unrealistic innovation on the other? In answer to this dilemma, the concept of a zone of feasible innovation (ZFI) is proposed and explored, drawing on the literature of school development, teacher professional development, and of developmental psychology, the work of Vygotsky in particular. A series of procedures are suggested to help define the nature and scope of a ZFI in any given situation. Finally, vignettes from case studies of innovation in science education are evoked to provide real-life counterpoints to the theoretical constructs of the literature. © 2006 Wiley Periodicals, Inc.",,,,,,,"Rogan, J.M.P.O. Box 352, Cortez, CO 81321, United States; email: jmroganza@yahoo.com",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-34247547063
"Anderson D., Nashon S.","56749232300;8233540000;","Predators of knowledge construction: Interpreting students' metacognition in an amusement park physics program",2007,"Science Education","91","2",,"298","320",,41,"10.1002/sce.20176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947603663&doi=10.1002%2fsce.20176&partnerID=40&md5=5e55bf4b75d509347efd07ccfff33c7b","Department of Curriculum Studies, University of British Columbia, 2125 Main Mall, Vancouver, BC V6T I24, Canada","Anderson, D., Department of Curriculum Studies, University of British Columbia, 2125 Main Mall, Vancouver, BC V6T I24, Canada; Nashon, S., Department of Curriculum Studies, University of British Columbia, 2125 Main Mall, Vancouver, BC V6T I24, Canada","It is recognized widely that learning is a dynamic and idiosyncratic process of construction and reconstruction of concepts in response to new experiences. It is influenced by the learner's prior knowledge, motivation, and sociocultural context. This study investigated how year 11 and 12 physics students' metacognition influences the development of their conceptual understandings of kinematics. An interpretive case study approach was used to investigate students working in collaborative groups in the context of an amusement park physics program. The metacognitive character of individual learners was demonstrated to have a strong influence on their conceptual development. Moreover, the metacognitive character of individuals within the small group contexts investigated was a key factor influencing the groups' collective knowledge development. A coyote-rabbit metaphor was developed to interpret the resilience and weaknesses of individual and group knowledge construction processes, and elucidates new theoretical understandings regarding metacognition and its influence on knowledge construction. © 2006 Wiley Periodicals, Inc.",,,,,,,"Anderson, D.; Department of Curriculum Studies, University of British Columbia, 2125 Main Mall, Vancouver, BC V6T I24, Canada; email: david.anderson@ubc.ca",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947603663
"Novey L.T., Hall T.E.","16067403600;7402483961;","The effect of audio tours on learning and social interaction: An evaluation at Carlsbad Caverns National Park",2007,"Science Education","91","2",,"260","277",,12,"10.1002/sce.20184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947576814&doi=10.1002%2fsce.20184&partnerID=40&md5=5db8eda9da51e880a682b7fa1e6dfad9","115 S. Lilley Street, Moscow, ID 83843, United States; Department of Conservation Social Sciences, College of Natural Resources, University of Idaho, Moscow, ID 83844-1139, United States","Novey, L.T., 115 S. Lilley Street, Moscow, ID 83843, United States; Hall, T.E., Department of Conservation Social Sciences, College of Natural Resources, University of Idaho, Moscow, ID 83844-1139, United States","Auditory forms of nonpersonal communication have rarely been evaluated in informal settings like parks and museums. This study evaluated the effect of an interpretive audio tour on visitor knowledge and social behavior at Carlsbad Caverns National Park. A cross-sectional pretest/posttest quasi-experimental design compared the responses of audio tour users (n = 123) and nonusers (n = 131) on several knowledge questions. Observations (n = 700) conducted at seven sites within the caverns documented sign reading, time spent listening to the audio, within group conversation, and other social behaviors for a different sample of visitors. Pretested tour users and nonusers did not differ in visitor characteristics, knowledge, or attitude variables, suggesting the two populations were similar. On a 12-item knowledge quiz, tour users' scores increased from 5.7 to 10.3, and nonusers' scores increased from 6.2 to 8.4. Most visitors were able to identify some of the park's major messages when presented with a multiple-choice question, but more audio users than nonusers identified resource preservation as a primary message in an open-ended question. Based on observations, audio tour users and nonusers did not differ substantially in their interactions with other members of their group or in their reading of interpretive signs in the cave. Audio tour users had positive reactions to the tour, and these reactions, coupled with the positive learning outcomes and negligible effects on social interaction, suggest that audio tours can be an effective communication medium in informal educational settings. © 2006 Wiley Periodicals, Inc.",,,,,,,"Novey, L.T.115 S. Lilley Street, Moscow, ID 83843, United States; email: levi.novey@gmail.com",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947576814
"Michail S., Stamou A.G., Stamou G.P.","16067082500;7003557368;7004137696;","Greek primary school teachers' understanding of current environmental issues: An exploration of their environmental knowledge and images of nature",2007,"Science Education","91","2",,"244","259",,50,"10.1002/sce.20185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947578268&doi=10.1002%2fsce.20185&partnerID=40&md5=a9e3e3db8a27dc0871c09c8bc5810652","Environmental Education Center of Vertiskos, Vertiskos, 57200, Greece; Department of Primary Education, University of Thessaly, Volos, 38221, Greece; Department of Ecology, School of Biology, Aristotle University of Thessaloniki, Thessaloniki, 54124, Greece","Michail, S., Environmental Education Center of Vertiskos, Vertiskos, 57200, Greece; Stamou, A.G., Department of Primary Education, University of Thessaly, Volos, 38221, Greece; Stamou, G.P., Department of Ecology, School of Biology, Aristotle University of Thessaloniki, Thessaloniki, 54124, Greece","In this article, the Greek primary school teachers' understanding of three current environmental issues (acid rain, the ozone layer depletion, and the greenhouse effect) as well as the emerging images of nature were examined. The study revealed that teachers held several environmental knowledge gaps and misconceptions about the three phenomena. Using the media as major environmental information sources, in which environmental issues are constructed as environmental risks, teachers are being environmentally educated in lay and not in scientific terms. Moreover, the image of nature emerging from their ideas about the three environmental issues is that of the romantic archetype, which prevails in postindustrial societies. Such a view, though, gives a conceptualization of nature as balance, under which the greenhouse effect and acid rain are seen as exclusively human-induced ""disturbances."" © 2006 Wiley Periodicals, Inc.",,,,,,,"Stamou, G.P.; Department of Ecology, School of Biology, Aristotle University of Thessaloniki, Thessaloniki, 54124, Greece; email: gpstamou@bio.auth.gr",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947578268
"Tran L.U.","22036899500;","Teaching science in museums: The pedagogy and goals of museum educators",2007,"Science Education","91","2",,"278","297",,63,"10.1002/sce.20193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947583037&doi=10.1002%2fsce.20193&partnerID=40&md5=5f2da2a7a11647706a67f00cdb66459d","Center for Informal Learning and Schools, King's College London, London SE1 9NH, United Kingdom","Tran, L.U., Center for Informal Learning and Schools, King's College London, London SE1 9NH, United Kingdom","Museum educators have a longstanding presence in museums and play a significant role in the institutions' educational agenda. However, research on field trips to science museums has predominantly explored teachers' and students' perspectives with little acknowledgment of the museum educators who develop and implement the educational programs the students experience. This study sought to describe instruction undertaken in, and goals driving, science museums' lessons through observations of museum educators followed by conversations with them immediately afterwards. Findings showed the ways in which educators adapted their preplanned lessons to the students' interests, needs, and understanding by manipulating the sequence and timing. The data revealed that, contrary to depictions in the research literature of teaching in museums as didactic and lecture oriented, there was creativity, complexity, and skills involved in teaching science in museums. Finally, the educators' teaching actions were predominantly influenced by their affective goals to nurture interests in science and learning. Although their lessons were ephemeral experiences, these educators operated from a perspective, which regarded a school field trip to the science museum, not as a one-time event, but as part of a continuum of visiting such institutions well beyond school and childhood. These findings have implications for the pedagogical practices employed by museum educators, and the relationship between teachers and educators during school field trips, which are discussed. © 2006 Wiley Periodicals, Inc.",,,,,,,"Tran, L.U.; Center for Informal Learning and Schools, King's College London, London SE1 9NH, United Kingdom; email: lynn.tran@kcl.ac.uk",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947583037
"Olitsky S.","15842277200;","Facilitating identity formation, group membership, and learning in science classrooms: What can be learned from out-of-field teaching in an urban school?",2007,"Science Education","91","2",,"201","221",,31,"10.1002/sce.20182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947585526&doi=10.1002%2fsce.20182&partnerID=40&md5=270a611c30e504cc92fbfb57a0f0b23d","Graduate School of Education, University of Pennsylvania, 3700 Walnut Street, Philadelphia, PA 19104, United States","Olitsky, S., Graduate School of Education, University of Pennsylvania, 3700 Walnut Street, Philadelphia, PA 19104, United States","This paper explores both the obstacles and the possibilities for students developing identities associated with science by engaging in solidarity-building classroom interactions. Data come from ethnographic research conducted in a diverse eighth-grade urban magnet school classroom in which the teacher taught out of field for part of the year. Contrary to expectations, more students participated and reported enjoying science when the teacher was out of field. Analysis of classroom interactions indicated that while in field, the teacher primarily engaged in ""front stage"" performances that hid her struggles with the material and accentuated students' views of science as an elite status group. The types of solidarity that developed among students often did not involve science language and sometimes involved students rejecting peers' claims to membership. However, when out of field, the teacher allowed students into her ""backstage,"" where her struggles and learning processes were more explicit. These practices lessened the social distance between teacher and students, and reduced the risks of using science language, thereby encouraging solidarity and group membership. This study provides insights into some of the ways that teachers, particularly those in urban settings characterized by diversity, might be more successful at facilitating identity formation and learning in science. © 2006 Wiley Periodicals, Inc.",,,,,,,"Olitsky, S.; Graduate School of Education, University of Pennsylvania, 3700 Walnut Street, Philadelphia, PA 19104, United States; email: solitsky@dolphin.upenn.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947585526
"Tsai C.-C.","7404967011;","Teachers' scientific epistemological views: The coherence with instruction and students' views",2007,"Science Education","91","2",,"222","243",,69,"10.1002/sce.20175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947603664&doi=10.1002%2fsce.20175&partnerID=40&md5=8d36e1abe6e44c9d1eff9396e96a0a5d","Graduate School of Technological and Vocational Education, National Taiwan University of Science and Technology, Taipei 106, Taiwan","Tsai, C.-C., Graduate School of Technological and Vocational Education, National Taiwan University of Science and Technology, Taipei 106, Taiwan","Research about the relationship between teachers' scientific epistemological views (SEVs) and science instruction is often an important issue for many science educators. This study, by collecting research data from four Taiwanese science teachers, their students, and classroom observations, was carried out to examine the coherences between teachers' SEVs and their (1) teaching beliefs, (2) instructional practices, (3) students' SEVs, and (4) students' perceptions toward actual science learning environments. The findings suggested adequate coherences between teachers' SEVs and their teaching beliefs as well as instructional practices. The teachers with relatively positivist-aligned SEVs tended to draw attention to students' science scores in tests and allocate more instructional time on teacher-directed lectures, tutorial problem practices, or in-class examinations, implying a more passive or rote perspective about learning science. In contrast, teachers with constructivist-oriented SEVs tended to focus on student understanding and application of scientific concepts and they adopted more time on student inquiry activities or interactive discussion. These findings are quite consistent with the results about the coherence between teachers' SEVs and students' perceptions toward science learning environments, suggesting that the constructivist- oriented SEVs appeared to foster the creation of more constructivist-oriented science learning environments. Finally, although this study provided some evidence that teachers' SEVs were likely related to their students' SEVs, the teachers' SEVs and those of their students were not obviously coherent. © 2006 Wiley Periodicals, Inc.",,,,,,,"Tsai, C.-C.; Graduate School of Technological and Vocational Education, National Taiwan University of Science and Technology, Taipei 106, Taiwan; email: cctsai@mail.nctu.edu.tw",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947603664
"Mueller M.P., Bentley M.L.","25632741800;57197430555;","Beyond the ""decorated landscapes"" of educational reform: Toward landscapes of pluralism in science education",2007,"Science Education","91","2",,"321","338",,14,"10.1002/sce.20190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947584432&doi=10.1002%2fsce.20190&partnerID=40&md5=b8d64782bd2367502564ce669adf66a2","Division of Social and Behavioral Sciences, Roane State Community College, Harriman, TN 37748, United States; Theory and Practice in Teacher Education, University of Tennessee, Knoxville, TN 37996, United States","Mueller, M.P., Division of Social and Behavioral Sciences, Roane State Community College, Harriman, TN 37748, United States; Bentley, M.L., Theory and Practice in Teacher Education, University of Tennessee, Knoxville, TN 37996, United States","Perhaps, we are at the fork in the road when it is imperative that we consider whether the pursuit of pluralism in science education is a worthwhile endeavor in light of recent educational reforms that seem to decorate the true aim of education. The ""decorated landscapes"" of educational reform concentrate on economic growth and do little to promote the conservation of Earth's natural environments that sustain life itself. Here we renew a discussion of a 300-year pursuit in the United States toward educational landscapes that contribute to students' lives. We connect with scholars who have pursued the pluralistic landscapes of culture in an attempt to make education more authentic and democratic and with scholars who have pursued an education for the conservation of the Earth's natural environments. We argue that these two educational domains are and necessarily should be reflective, reliant, and reciprocal of each other if we wish to truly engage students in scientific literacy - the authentic, relevant, and meaningful science education experiences that contribute a person's existence. Finally, we offer recommendations which aim to focus on the many meaningful landscapes that contribute to pluralistic life in science education. © 2006 Wiley Periodicals, Inc.",,,,,,,"Mueller, M.P.; Division of Social and Behavioral Sciences, Roane State Community College, Harriman, TN 37748, United States; email: muellerm@roanestate.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33947584432
"Schwarz C.V., Gwekwerere Y.N.","8575232900;16028691400;","Using a guided inquiry and modeling instructional framework (EIMA) to support preservice K-8 science teaching",2007,"Science Education","91","1",,"158","186",,77,"10.1002/sce.20177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847640572&doi=10.1002%2fsce.20177&partnerID=40&md5=cbbca9bb0c5de9f4a51af6ef556894b3","Teacher Education, Michigan State University, 332 Erickson Hall, East Lansing, MI 48824, United States","Schwarz, C.V., Teacher Education, Michigan State University, 332 Erickson Hall, East Lansing, MI 48824, United States; Gwekwerere, Y.N., Teacher Education, Michigan State University, 332 Erickson Hall, East Lansing, MI 48824, United States","This paper presents results from a study aimed at helping preservice elementary and middle school teachers incorporate model-centered scientific inquiry into their science teaching practices. Specifically, the authors studied the effect of using a guided inquiry and modeling instructional framework (EIMA) and accompanying science methods instruction on preservice elementary teachers' science lesson design skills, scientific model use, and teaching orientations. Analysis of preservice teachers' pre-posttests, classroom artifacts, peer interviews, and lesson plans throughout the semester indicates that the framework successfully built on preservice teachers' prior instructional ideas, and that the majority of preservice teachers learned and used the framework in their lesson plans and teaching. Additionally, analysis of pre-posttest differences indicates an increase in posttest lesson plans that focused on engaging students in scientific inquiry using several kinds of models. Most importantly, the framework and accompanying instruction enabled two thirds of the class to move their teaching orientations away from discovery or didactic approaches toward reform-based approaches such as conceptual change, inquiry, and guided inquiry. Results from this study show that using instructional frameworks such as EIMA can enable preservice teachers to socially construct, synthesize, and apply their knowledge for enacting reform-oriented science teaching approaches such as model-centered scientific inquiry. © 2006 Wiley Periodicals, Inc.",,,,,,,"Schwarz, C.V.; Teacher Education, Michigan State University, 332 Erickson Hall, East Lansing, MI 48824, United States; email: cschwarz@msu.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-33847640572
